trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,31.73530810000375,32.73328049998963,32.74972849999904,up,0,0.5673370999866165,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
1,0,1,0,33.33281530000386,34.332623800000874,34.332623800000874,up,1,0.6468736999959219,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
2,0,2,0,34.999850599997444,35.99939529999392,35.99939529999392,up,1,0.7071123999776319,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
3,0,3,0,36.73280159998103,37.732579400006216,37.732579400006216,up,1,0.5797198999789543,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
4,0,4,0,38.33280750000267,39.332682599982945,39.332682599982945,down,1,0.7798099000065122,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
5,0,5,0,40.132742499990854,41.13271419997909,41.13271419997909,up,1,0.8039387000026181,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
6,0,6,0,41.9666939000017,42.96600669997861,42.96600669997861,up,1,0.7947295999911148,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
7,0,7,0,43.78245169998263,44.78254059999017,44.78254059999017,up,1,0.7931352000159677,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
8,0,8,0,45.59905819999403,46.59906899998896,46.59906899998896,up,1,0.5789239000005182,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
9,0,9,0,47.199238300003344,48.19897860000492,48.19897860000492,down,1,0.8804062999843154,2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
10,0,10,0,49.09924829998636,50.099050299992086,50.099050299992086,down,0,1.0569979999854695,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
11,0,11,0,51.18229870000505,52.182451100001344,52.182451100001344,up,1,0.585160700022243,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
12,0,12,0,52.79917939999723,53.798895999992965,53.798895999992965,down,1,0.5852358000120148,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
13,0,13,0,54.41562580000027,55.41570869999123,55.41570869999123,up,1,0.8539037999871653,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
14,0,14,0,56.299056799995014,57.29919079999672,57.29919079999672,down,1,0.7134612000081688,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
15,0,15,0,58.03247310000006,59.03218099998776,59.03218099998776,down,1,0.9833197000261862,-4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
16,0,16,0,60.03225889999885,61.03228019998642,61.03228019998642,up,1,0.7554384999966715,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
17,0,17,0,61.8160549000022,62.81559159999597,62.81559159999597,up,1,0.8359650000056718,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
18,0,18,0,63.6820475999848,64.68208389999927,64.68208389999927,up,1,0.7305073000025004,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
19,0,19,0,65.43226609998965,66.43225449998863,66.43225449998863,down,0,0.6120153999945614,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
20,0,20,0,67.06554999999935,68.06553849999909,68.06553849999909,down,0,0.9102653999871109,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
21,0,21,0,68.99865389999468,69.99879469998996,69.99879469998996,down,0,0.6350203999900259,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
22,0,22,0,70.66550139998435,71.66546389998985,71.66546389998985,down,0,0.6887668000126723,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
23,0,23,0,72.38192319998052,73.38192849999177,73.38192849999177,up,0,0.5491834999993443,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
24,0,24,0,73.9490567999892,74.9484981999849,74.9484981999849,down,1,0.8501790999725927,4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
25,0,25,0,75.81541239999933,76.81538719998207,76.81538719998207,down,1,0.8354725000099279,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
26,0,26,0,77.6819894000073,78.68181099998765,78.68181099998765,down,0,0.7348304000042845,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
27,0,27,0,79.44863159998204,80.44863090000581,80.44863090000581,down,1,0.6058973000035621,-4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
28,0,28,0,81.08190359998844,82.08190019999165,82.08190019999165,down,1,0.602203999995254,-4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
29,0,29,0,82.71525300000212,83.71520949999103,83.71520949999103,down,1,0.6728647999989334,-3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
30,0,30,0,84.41505630000029,85.41502449999098,85.41502449999098,up,0,0.8011914999806322,2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
31,0,31,0,86.24834930000361,87.24845650000498,87.24845650000498,down,1,0.6767285999958403,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
32,0,32,0,87.9484386999975,88.94841029998497,88.94841029998497,up,1,0.8078184000041801,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
33,0,33,0,89.781508199987,90.7815389999887,90.7815389999887,down,1,0.710314500000095,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
34,0,34,0,91.51506799997878,92.51502649998292,92.51502649998292,up,1,0.7688507999991998,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
35,0,35,0,93.31507469998905,94.31509960000403,94.31509960000403,up,1,0.9048889999976382,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
36,0,36,0,95.24836999998661,96.24817869998515,96.24817869998515,down,1,0.7945900000049733,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
37,0,37,0,97.0649777999788,98.0647597000061,98.0647597000061,down,0,0.9010269999853335,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
38,0,38,0,98.99802080000518,99.99824990000343,99.99824990000343,up,1,0.7577840999874752,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
39,0,39,0,100.7813540000061,101.78156879998278,101.78156879998278,up,1,0.7966704999853391,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
40,0,40,0,102.59821549998014,103.59799059998477,103.59799059998477,up,1,0.7545555999968201,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
41,0,41,0,104.38149589998648,105.38155669998378,105.38155669998378,up,1,0.5543891999986954,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
42,0,42,0,105.96466239998699,106.96486720000394,106.96486720000394,down,1,1.1578990999842063,-3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
43,0,43,0,108.14799519997905,109.14810950000538,109.14810950000538,down,1,7.73436989999027,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
44,0,44,0,116.91437509999378,117.91438189998735,117.91438189998735,up,1,0.8814794000063557,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
45,0,45,0,118.81437539999024,119.81459829999949,119.81459829999949,down,1,1.2156087999755982,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
46,0,46,0,121.04788259998895,122.04788529998041,122.04788529998041,down,1,0.8255586000159383,-4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
47,0,47,0,122.89783649999299,123.89760269998806,123.89760269998806,up,1,0.7596412000129931,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
48,0,48,0,124.68108829998528,125.68112930000643,125.68112930000643,down,1,0.9390286999987438,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
49,0,49,0,126.64763459999813,127.64777759998105,127.64777759998105,up,1,0.7802453000040259,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
50,0,50,0,128.44823059998453,129.44744190000347,129.44744190000347,up,0,0.6806984000140801,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
51,0,51,0,130.1478576999798,131.1354017999838,131.15078399999766,down,1,0.8722617999883369,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
52,0,52,0,132.03099889997975,133.0309816999943,133.0309816999943,down,1,1.3095206999860238,4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
53,0,53,0,134.3640907999943,135.3643282999983,135.3643282999983,down,1,0.9129572999954689,-4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
54,0,54,0,136.297708099999,137.2975313999923,137.2975313999923,up,0,0.7454840999853332,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
55,0,55,0,138.06393139998545,139.06430470000487,139.06430470000487,up,1,0.7331228999828454,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
56,0,56,0,139.8141253000067,140.8139384999813,140.8139384999813,down,1,0.8820566999784205,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
57,0,57,0,141.7141953999817,142.7140540999826,142.7140540999826,up,1,1.168834899988724,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
58,0,58,0,143.9138841999811,144.91416660000687,144.91416660000687,up,1,0.7242179000168107,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
59,0,59,0,145.6638527000032,146.66442679998,146.66442679998,down,1,0.7796062999987043,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
60,0,60,0,147.46417009999277,148.4639681999979,148.4639681999979,down,1,0.7316117000009399,4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
61,0,61,0,149.21385169998393,150.21448169997893,150.21448169997893,up,1,0.7900986000022385,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
62,0,62,0,151.0306401999842,152.03073119997862,152.03073119997862,down,1,0.8340886999794748,-4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
63,0,63,0,152.8970241000061,153.89707079998334,153.89707079998334,up,1,0.6288748999941163,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
64,0,64,0,154.54728909998084,155.54698489999282,155.54698489999282,up,1,0.59982219999074,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
65,0,65,0,156.16394599998603,157.16376179998042,157.16376179998042,up,1,0.5886009000241756,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
66,0,66,0,157.7804887999955,158.78078909998294,158.78078909998294,up,1,0.7375935000018217,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
67,0,67,0,159.54703349998454,160.54694649999146,160.54694649999146,down,1,0.7392573000106495,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
68,0,68,0,161.3135123999964,162.3135648999887,162.3135648999887,up,1,0.745522000011988,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
69,0,69,0,163.08040999999503,164.08018479999737,164.08018479999737,down,1,0.7989620000007562,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
70,0,70,0,164.89704619999975,165.8970863999857,165.8970863999857,up,0,0.5001856999879237,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
71,0,71,0,166.41380389998085,167.4137848999817,167.4137848999817,down,1,0.802637999993749,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
72,0,72,0,168.2470103999949,169.2469882000005,169.2469882000005,up,1,0.8600403000018559,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
73,0,73,0,170.13028119999217,171.13027419999707,171.13027419999707,up,1,0.671308399992995,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
74,0,74,0,171.8301145999867,172.8302454999939,172.8302454999939,up,1,0.6891941000067163,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
75,0,75,0,173.54664610000327,174.54681359999813,174.54681359999813,down,0,0.6195040000020526,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
76,0,76,0,175.19687849999173,176.1968893999874,176.1968893999874,up,1,0.46756429999368265,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
77,0,77,0,176.69688000000315,177.6966465000005,177.6966465000005,up,1,0.5532333999872208,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
78,0,78,0,178.28012320000562,179.28020769997966,179.28020769997966,up,1,0.46126959999674,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
79,0,79,0,179.76318330000504,180.76344889999018,180.76344889999018,down,1,0.9156499000091571,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
80,0,80,0,181.69675469998037,182.6965602999844,182.6965602999844,down,1,0.922973999986425,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
81,0,81,0,183.64673279999988,184.64642489998369,184.64642489998369,down,1,0.8489501000149176,2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
82,0,82,0,185.51349369998206,186.51310339997872,186.51310339997872,up,1,1.2159955000097398,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
83,0,83,0,187.74643430000287,188.746367499989,188.746367499989,up,1,0.8924209999968298,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
84,0,84,0,189.6632141000009,190.6632757000043,190.6632757000043,up,1,1.1551882000057958,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
85,0,85,0,191.84658439998748,192.84652960000676,192.84652960000676,down,1,1.0148587000148837,2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
86,0,86,0,193.8798973999801,194.87980860000243,194.87980860000243,up,1,0.8157087999861687,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
87,0,87,0,195.7128800000064,196.7131174999813,196.7131174999813,up,1,0.8091323999979068,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
88,0,88,0,197.54644259999623,198.54616339999484,198.54616339999484,down,1,0.8847092999785673,2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
89,0,89,0,199.46300200000405,200.46308539999882,200.46308539999882,up,1,0.6693093000212684,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
90,0,90,0,201.16278019998572,202.16293560000486,202.16293560000486,down,1,1.180696800001897,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
91,0,91,0,203.3630167999945,204.36294890000136,204.36294890000136,up,1,0.7175204000086524,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
92,0,92,0,205.11294369999086,206.11269089998677,206.11269089998677,up,0,0.8894508999946993,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
93,0,93,0,207.0294952999975,208.02934839998488,208.02934839998488,up,1,0.3805333000200335,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
94,0,94,0,208.42950470000505,209.42959960000007,209.42959960000007,up,0,0.8359293999965303,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
95,0,95,0,210.29615009998088,211.29621269999188,211.29621269999188,down,1,1.086396499973489,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
96,0,96,0,212.41275940000196,213.41279070000746,213.41279070000746,down,0,1.2068473999970593,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
97,0,97,0,214.64595919998828,215.64610389998415,215.64610389998415,down,0,0.5992561000166461,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
98,0,98,0,216.26308539998718,217.2627582999994,217.2627582999994,up,0,0.9414285999955609,2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
99,0,99,0,218.22940839998773,219.22911580000073,219.22911580000073,down,0,0.7137897000066005,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
